location_name,tso,country_hint,lat_lon,resistance_ohm,reactance_ohm,susceptance_us,segment_length_km
CIZE,RTE,fr,"46.20488199073, 5.4628544066177",0.45,2.70,20.04,6.97
CLEON,RTE,fr,"49.32341166053076, 1.0465449770404966",0.33,2.20,15.75,5.47
CLERAC,RTE,fr,"45.1781249718499, -0.250797369168022",3.97,44.45,429.56,40.34
COCHE (LA),RTE,fr,"45.4965986833617, 6.50975276131643",0.69,9.82,63.86,22.58
COLAYRAC,RTE,fr,"44.2275186748419, 0.563899576369205",1.76,11.77,83.60,29.28
COMMERVEIL,RTE,fr,"48.3166688005924, 0.375919635433453",1.32,8.75,63.56,21.94
COMPIEGNE,RTE,fr,"49.4347717063799, 2.84108963926715",1.82,8.91,58.90,21.47
CONCARNEAU,RTE,fr,"47.8948207951158, -3.89216931427097",1.52,10.24,75.06,26.10
CONFLUENT,RTE,fr,"45.1969655237646, 5.70291165854391",0.12,0.78,18.00,2.04
CONTAMINE,RTE,fr,"45.4940397236623, 6.55430945738799",0.55,3.24,24.25,8.38
COQUAINVILLIERS,RTE,fr,"49.2160752957818, 0.200585303632",2.21,14.93,105.01,36.88
CORBIERE (LA),RTE,fr,"47.505698059884104, -0.458541165941762",2.77,18.43,127.55,45.46
CORDEMAIS-POSTE,RTE,fr,"47.290258320619444, -1.8661158347580258",1.11,7.54,55.84,19.52
CORIOLIS,RTE,fr,"48.8357726185554, 2.39147623205835",0.56,1.33,726.93,10.70
CORNIER,RTE,fr,"46.09069445327157, 6.303217249249326",1.45,8.96,66.42,22.80
COSSIGNY,RTE,fr,"48.7285924740817, 2.67897444604767",0.52,2.48,17.34,6.14
COUCHEY,RTE,fr,"47.255175158426, 4.99976495780571",1.80,11.94,86.73,29.90
COUDON (LE),RTE,fr,"43.162651800271604, 5.97761405815685",0.79,5.26,38.57,13.20
COULANGE,RTE,fr,"44.6422785128744, 4.7334401814770795",4.15,41.63,519.05,0.00
COURCELLES,ELIA,be,"50.4995735, 4.3525564999999995",0.05,0.56,6.60,1.70
COURRIERES,RTE,fr,"50.4501082603346, 2.93047587669888",1.09,7.46,54.87,18.90
COURTRY,RTE,fr,"48.5624765564891, 2.7882162121277903",1.07,7.21,96.42,18.33
CRECHETS (LES),RTE,fr,"50.669610201250265, 2.720332027459977",0.87,5.82,57.28,14.43
CRENEY,RTE,fr,"48.3441159922747, 4.13857824967324",5.30,24.68,163.78,26.24
CRETAINE,RTE,fr,"48.7989248284588, 2.35847969698266",0.16,0.48,216.00,4.39
CREYS,RTE,fr,"45.7661724479512, 5.4761570055752",1.11,16.16,201.46,21.05
CROISIERE,RTE,fr,"44.2711416025631, 4.69731198663101",4.82,15.39,118.67,21.47
CROIX-DE-METZ,RTE,fr,"48.692060336113705, 5.91666239597705",1.57,10.70,78.81,27.11
CUBNEZAIS,RTE,fr,"45.07763161229918, -0.4261436033590517",0.36,3.49,44.08,11.88
CUSSET-POSTE,RTE,fr,"45.7749154712409, 4.92623358282951",0.66,4.98,74.00,12.61
CUSTINE,RTE,fr,"48.7653047139711, 6.13944722553319",0.76,5.07,36.64,12.62
CZARNA,PSE,pl,"51.394999999999996, 16.294999999999998",0.66,6.93,90.72,23.40
CZERWONAK,PSE,pl,"52.44, 16.99",1.72,12.62,84.63,30.56
Calafat,TEL,"","43.981838, 22.910271",2.50,14.78,95.13,36.00
Calea Aradului,TEL,"","45.819798, 21.175332",0.55,3.27,21.02,47.63
Campia Turzii,TEL,"","46.534274, 23.873355",1.98,11.76,143.00,41.00
Cebin,CEPS,cz,"49.3335228, 16.4580272",1.04,11.44,154.00,38.30
Cernavoda,TEL,"","44.34114485714286, 28.117142857142856",0.71,6.23,80.50,21.00
Cetate,TEL,"","44.12003166666667, 23.065703666666668",2.50,14.78,95.13,36.00
Charlottenburg,50HERTZ,de,"52.5225, 13.3097",0.13,1.27,235.62,5.27
Chodov,CEPS,cz,"50.0196119, 14.5047519",0.69,8.21,113.00,29.50
Chotejovice,CEPS,cz,"50.591273066666666, 13.808739766666667",0.69,8.03,122.00,28.90
Chrast,CEPS,cz,"49.7820772, 13.4728211",0.80,9.46,122.00,32.60
Cierny Vah,SEPS,sk,"49.008829, 19.909437",1.04,10.85,145.86,37.30
Cirkovce,MAVIR,hu,"46.380138250416664, 15.96476791666667",1.34,17.74,287.30,68.18
Cloppenburg/O,TENNETGMBH,de,"52.85, 8.08",0.87,4.99,47.56,12.99
Cluj Est,TEL,"","46.795509, 23.638614",0.69,6.50,65.00,19.00
Cluj Floresti,TEL,"","46.73989, 23.459566",1.80,10.70,69.00,25.00
Compenstatie Filterstation Eemshaven,TENNET NL,nl,"53.425, 6.87",0.02,0.13,53.07,0.77
Conneforde,TENNETGMBH,de,"53.35466666666667, 8.064666666666668",1.80,10.26,79.80,26.34
Conneforde/O,TENNETGMBH,de,"53.342, 8.062000000000001",0.76,13.93,1060.83,65.59
Constanta Nord,TEL,"","44.201651, 28.589344",1.68,15.86,176.40,49.50
Craiova Nord,TEL,"","44.370684, 23.841296",0.68,3.84,26.00,10.00
Crayestein,TENNET NL,nl,"51.82000000000001, 4.76",0.23,3.60,71.70,14.84
DAMBRON,RTE,fr,"48.11768842172761, 1.8670898145026813",2.52,11.14,70.93,26.25
DAMERY,RTE,fr,"49.0756442317769, 3.87079693982085",2.26,15.02,108.75,37.72
DANTOU,RTE,fr,"44.4615733917571, 0.830544158933564",4.11,18.66,129.34,45.98
DARSE,RTE,fr,"43.43528867387287, 4.854483523320686",0.79,5.27,37.77,13.14
DC Phillipsburg,TRANSNETBW,de,"49.21000000000001, 8.459999999999999",0.01,0.13,2.39,0.52
DECHY,RTE,fr,"50.3612845493247, 3.13842187429195",1.71,18.41,54.26,19.23
DETMAROVICE,PSE,pl,"50.3273, 18.16805",3.90,42.59,470.18,133.60
DIGUE-DES-FRANCAIS,RTE,fr,"43.6765012839999, 7.20690709536477",0.31,2.04,186.59,6.54
DISTRE,RTE,fr,"47.2166068279443, -0.10652043438679601",0.51,6.62,81.74,21.63
DOBERIE,RTE,fr,"48.506560665573, -2.45417764357835",1.42,9.81,72.36,24.85
DOBROTWOR,PSE,pl,"50.21, 24.38",3.57,20.80,134.67,62.43
DOBRZEN,PSE,pl,"50.632085714285715, 17.958014285714288",3.90,42.59,470.18,133.60
DOEL,ELIA,be,"51.3323252, 4.2659223",0.24,2.40,24.00,6.80
DOMLOUP,RTE,fr,"48.1004357209981, -1.5486216580899999",1.02,6.86,151.06,7.20
DONZAC,RTE,fr,"44.10600859936263, 0.8259885847230474",3.72,48.85,810.88,12.72
DONZENAC,RTE,fr,"45.2148568697396, 1.52254929766071",2.58,17.13,124.56,43.01
DROGENBOS,ELIA,be,"50.726361700000005, 4.292903066666667",0.32,3.38,39.61,10.30
DRONNIERE (LA),RTE,fr,"49.1435402976715, -0.333614008204333",0.62,4.10,29.62,10.55
DUNOWO,PSE,pl,"54.13, 16.1",2.10,24.77,257.20,73.10
DUVAL,ELIA,be,"50.6042062, 5.4926766",0.08,0.87,1790.91,10.18
DUVIGNEAU,RTE,fr,"51.0160259713167, 2.15655465429236",0.02,0.12,0.85,0.29
Dakovo,HOPS,hr,"45.289048, 18.42146",3.69,18.95,124.70,26.30
Darste,TEL,"","45.624693, 25.65195",0.46,4.39,44.00,13.00
Dasny,CEPS,cz,"49.03434496666667, 14.428281666666665",0.83,10.00,141.00,35.60
Datteln,AMPRION GMBH,de,"51.6442, 7.351249999999999",0.27,2.57,42.60,9.98
Dauersberg,TENNETGMBH,de,"50.771385714285714, 7.89464",1.07,9.68,167.13,40.64
Daxlanden,TRANSNETBW,de,"48.93373333333333, 8.306333333333335",0.13,1.24,21.00,4.92
Delesto,TENNET NL,nl,"53.33314000000001, 7.00922",0.12,0.44,6.27,2.00
Dellmensingen,TRANSNETBW,de,"48.264875, 9.9386875",0.01,0.05,0.57,0.25
Detk,MAVIR,hu,"47.781208330000005, 20.114191670000004",3.69,27.09,172.47,64.50
Detmarovice,CEPS,cz,"49.9046, 18.4661",0.66,7.15,97.40,133.60
Dettingen,TENNETGMBH,de,"50.079366666666665, 9.058586666666667",0.06,0.56,9.90,2.40
Diefflen,AMPRION GMBH,de,"49.369600000000005, 6.759829999999999",0.11,0.48,3.70,1.27
Diele,TENNETGMBH,de,"53.1325, 7.225",0.33,3.85,54.98,9.72
Diemen,TENNET NL,nl,"52.34666666666667, 5.016666666666667",0.36,4.23,63.58,15.45
Dillenburg,TENNETGMBH,de,"50.72306666666666, 8.06861",1.07,9.68,167.13,40.64
Dipperz,TENNETGMBH,de,"50.49, 9.66",1.50,12.87,226.08,50.57
Divaca,HOPS,hr,"45.59341754166666, 14.13007916666667",1.58,11.03,74.11,24.61
Djerdap,TEL,"","44.66435, 22.52073",0.03,0.32,3.31,0.75
Dobrudja,TEL,"","43.335729, 27.575018",1.46,18.15,241.00,124.11
Dodewaard,TENNET NL,nl,"51.938, 5.668",0.98,11.48,172.48,41.92
Doekegat,TENNET NL,nl,"53.46099900000001, 6.866758",0.05,0.58,9.36,2.19
Doernigheim,TENNETGMBH,de,"50.17, 9.08",0.00,0.05,0.32,0.08
Doerpen/W,TENNETGMBH,de,"52.894679999999994, 7.3274799999999995",0.42,4.87,63.40,32.96
Doetinchem,TENNET NL,nl,"51.95525, 6.468335",0.47,7.20,130.78,22.18
Doetinchem Langerak,TENNET NL,nl,"51.989999999999995, 6.26",1.16,12.37,192.86,45.40
Dollern,TENNETGMBH,de,"53.5246, 9.607475",0.45,3.54,65.20,14.34
Domnesti,TEL,"","44.45000000000001, 25.966787",1.21,11.40,113.40,44.00
Draganesti Olt,TEL,"","44.163474, 24.481788",1.11,11.45,114.50,34.00
Dreibein Mellach,APG,at,"46.923, 15.593",1.41,23.73,411.23,61.60
Dresden/Süd,50HERTZ,de,"50.9945, 13.8458",1.00,9.39,163.05,36.55
Duelken,AMPRION GMBH,de,"51.2434, 6.3303",0.63,5.76,100.10,22.93
Duennwald,AMPRION GMBH,de,"51.0072, 7.0311",0.67,3.68,39.80,11.56
Duernrohr,APG,at,"48.35366, 15.90872",2.75,38.62,480.35,127.00
Dumbrava,TEL,"","46.905627, 26.420789",2.40,14.20,91.00,34.00
Dunamenti,MAVIR,hu,"46.96404, 18.93264",0.42,3.03,19.79,7.24
Durnrohr,CEPS,cz,"48.72312, 16.0072154",1.04,14.27,187.50,42.80
ECHALAS,RTE,fr,"45.547965593576905, 4.72379731015931",0.42,2.89,36.00,6.95
ECHINGHEN,RTE,fr,"50.6971053253338, 1.6400325873408501",2.65,12.05,83.55,29.72
EEKLO NOORD,ELIA,be,"51.2066306, 3.5376028",0.40,4.26,50.27,13.00
EGUZON,RTE,fr,"46.46116182228662, 1.624089570203873",1.52,19.97,331.64,22.40
ELANCOURT,RTE,fr,"48.7743233307368, 1.95168253383257",0.30,2.01,939.37,12.75
ELK,PSE,pl,"53.77, 22.32",5.17,38.41,251.14,91.90
ELK BIS,PSE,pl,"53.769999999999996, 22.310000000000002",2.14,23.22,320.83,111.67
ENCO-DE-BOTTE,RTE,fr,"43.326025755869, 5.48595859984256",0.34,1.12,343.36,6.36
ENSDORF,RTE,fr,"49.312316666666675, 6.74514",1.67,7.68,99.77,20.32
ENVAL,RTE,fr,"45.7652009521589, 2.9992649154028",0.87,6.07,42.00,15.03
ESCAILLON (L ),RTE,fr,"43.1320080382273, 5.892020027481901",0.79,5.26,38.57,13.20
ETIVAL,RTE,fr,"48.3790584458188, 6.87144822872283",2.89,19.20,136.05,47.62
ETUPES,RTE,fr,"47.5074693876023, 6.8481204985809",0.87,4.44,31.28,11.14
EYBENS,RTE,fr,"45.1641313441942, 5.76360687014665",0.52,3.38,24.57,8.40
Edelstahl,AMPRION GMBH,de,"51.3008, 6.54389",0.21,1.01,13.10,3.47
Eemshaven,TENNET NL,nl,"53.16636363636364, 6.359090909090909",0.00,0.05,0.13,0.04
Eemshaven Converterstation,TENNET NL,nl,"52.42492766666667, 4.968637",0.04,0.05,0.11,1.34
Eemshaven Oost,TENNET NL,nl,"53.44, 6.88",0.08,0.11,53.19,0.77
Eemshaven Oudeschip,TENNET NL,nl,"53.446666666666665, 6.866666666666667",0.01,0.11,1.93,0.43
Eiberg,AMPRION GMBH,de,"51.453922222222225, 7.128332222222222",0.67,6.54,103.40,24.83
Eichstetten,TRANSNETBW,de,"48.22615384615385, 8.016923076923076",0.54,2.98,32.52,17.01
Eickum,TENNETGMBH,de,"52.14000000000001, 8.58",1.25,11.45,202.25,45.30
Eindhoven,TENNET NL,nl,"51.46600000000001, 5.546",1.13,13.35,200.56,48.74
Eisenach,TENNETGMBH,de,"51.0019, 10.3858",1.89,18.95,306.52,72.29
Eisenhüttenstadt (Abzweig),50HERTZ,de,"52.16493333333333, 14.514533333333333",1.42,9.63,170.87,38.48
Eiserfeld,AMPRION GMBH,de,"50.85210000000001, 7.995140000000001",0.22,3.95,68.80,15.74
Eller,AMPRION GMBH,de,"51.2057, 6.84708",0.92,5.50,51.40,16.05
Elmenhorst,AMPRION GMBH,de,"51.6185, 7.4447",0.54,3.04,39.00,10.40
Elsen,TENNETGMBH,de,"51.78000000000001, 8.69",1.49,13.70,242.70,54.21
Elsfleth/W,TENNETGMBH,de,"53.24, 8.4",0.71,7.98,104.61,27.08
Eltmann,TENNETGMBH,de,"49.962, 10.66",1.26,14.60,264.77,58.27
Emden/O,TENNETGMBH,de,"53.4, 7.35",0.76,13.93,1060.83,65.59
Emscherbruch,AMPRION GMBH,de,"51.5585, 7.195",0.20,1.79,31.30,7.15
Endersbach,TRANSNETBW,de,"48.82, 9.38",0.45,4.26,16.70,16.70
Engstlatt,TRANSNETBW,de,"48.32, 8.87",0.86,9.02,145.58,34.00
Enniger,AMPRION GMBH,de,"51.8231, 7.99403",0.00,0.05,0.40,0.14
Ens,TENNET NL,nl,"52.629999999999995, 5.819999999999999",0.42,5.74,88.92,21.00
Ensdorf,AMPRION GMBH,de,"49.296400000000006, 6.77778",0.63,5.89,103.00,23.51
Ernestinovo,MAVIR,hu,"45.457241, 18.653412",1.46,15.17,164.29,51.53
Ernsthofen,APG,at,"48.124145, 14.477577000000002",6.67,34.49,240.08,84.40
Ertsmyra,TENNETGMBH,de,"58.67116, 6.75467","","","",""
Erzhausen,TENNETGMBH,de,"51.906666666666666, 9.946666666666665",0.00,0.05,0.03,5.20
Etzenricht,TENNETGMBH,de,"49.62671713333334, 12.317222133333333",1.19,14.52,244.39,33.79
Etzersdorf,APG,at,"48.268738, 15.73709",2.26,32.82,383.59,0.70
Eula,50HERTZ,de,"51.164, 12.5246",2.95,22.14,356.70,84.36
FAI,TEL,"","47.177943, 27.481313",5.28,31.20,200.00,74.00
FALLOU,RTE,fr,"48.94449295637717, 2.2683720322518863",0.11,0.92,358.30,5.48
FAMARS,RTE,fr,"50.311842818732, 3.50547948039584",1.41,6.99,49.17,17.24
FARRADIERE (LA),RTE,fr,"45.9669236467255, -0.8607638774631529",1.80,12.41,91.58,16.00
FAUX FRENAIS,RTE,fr,"48.6498239468641, 3.97620988087985",0.47,5.06,53.26,15.26
FEROUGE,RTE,fr,"44.9159074875012, 1.46614311224266",2.49,16.52,120.06,41.49
FEUILLANE,RTE,fr,"43.461865436476, 4.91496229113124",0.79,5.27,37.77,13.14
FLANDRE,RTE,fr,"46.17173239122715, 3.6418850612407647",0.16,0.64,280.00,5.30
FLEAC,RTE,fr,"45.6991985983493, 0.0877454948921846",7.48,26.46,164.46,62.46
FLEBOUR,Creos,lu,"49.905358, 6.114523",1.02,5.14,44.27,17.60
FLEBOUR ,Creos,lu,"49.9307748, 6.1572698",0.24,1.51,19.48,5.00
FLERS,RTE,fr,"48.7369218051188, -0.551524689784875",2.98,20.56,151.63,52.33
FLEYRIAT,RTE,fr,"46.2326233429418, 5.2094963868017",1.22,7.67,114.86,24.23
FLOIRAC,RTE,fr,"44.8211419169841, -0.524284245243995",1.35,9.02,64.71,22.46
FLORENSAC,RTE,fr,"43.3863372518002, 3.48093084450856",1.71,10.14,75.33,25.83
FONT (LA),RTE,fr,"46.1588584057407, 3.47185333832657",3.02,20.20,146.74,50.75
FOSSES (LES),RTE,fr,"48.7899435888452, 3.11065024935163",4.73,22.10,148.89,39.31
FOUSCAIS,RTE,fr,"43.6161876940843, 3.46766833183365",1.50,9.98,71.81,24.91
FRASNE,RTE,fr,"46.872070264455694, 6.16287281543297",1.64,9.73,72.34,24.84
FREJUS,RTE,fr,"43.44404346306268, 6.739552770870957",1.40,9.22,95.88,22.80
FRONCLES,RTE,fr,"48.2944939611209, 5.14916546145222",6.82,34.11,240.42,84.75
FRUGES,RTE,fr,"50.4996160706925, 2.09458049209592",1.31,17.16,284.08,65.14
FWH-S,AMPRION GMBH,de,"50.0881, 8.5472",2.62,12.70,367.80,65.26
Fantanele,TEL,"","46.420583, 24.772089",2.00,11.30,73.00,26.00
Farge,TENNETGMBH,de,"53.12, 8.52",0.23,2.67,37.21,9.50
Fedderwarden,TENNETGMBH,de,"53.57333333333333, 8.083333333333334",0.13,1.50,20.45,5.17
Feistritz,APG,at,"46.535923, 14.174128",0.76,8.73,114.20,41.30
Felsozsolca,MAVIR,hu,"48.12647777666666, 20.862386106666666",0.72,8.44,84.19,25.12
Filesti,TEL,"","45.301607, 27.958853",0.50,2.80,18.00,7.00
Focsani Vest,TEL,"","45.682588, 27.158589",5.55,29.15,196.14,86.00
Frankfurt,AMPRION GMBH,de,"50.1341, 8.69361",0.13,1.40,19.40,5.00
Frankfurt/N,TENNETGMBH,de,"50.19, 8.91",0.79,3.74,87.51,13.73
Frankfurt/SW,TENNETGMBH,de,"50.121, 8.73",0.16,1.33,23.49,5.64
Freiberg/Nord,50HERTZ,de,"50.9308, 13.2557",1.05,9.69,167.57,37.59
Friedrichshain,50HERTZ,de,"52.53150000000001, 13.4661",0.13,1.52,376.55,6.55
Fuehlingen,AMPRION GMBH,de,"51.0344, 6.93611",1.02,5.52,71.80,19.00
Fundeni,TEL,"","44.466835, 26.180517000000002",1.80,10.50,67.58,25.00
Förderstedt,50HERTZ,de,"51.9135, 11.6492",1.34,12.79,209.58,48.55
GALOREAUX (LES),RTE,fr,"47.3102683963121, -0.854999126938909",1.78,18.03,225.80,46.47
GAMPALOUP,RTE,fr,"45.3352564220958, 4.83340633058501",1.43,9.66,68.00,24.66
GANGES,RTE,fr,"43.9457071697169, 3.72387983897396",6.56,23.93,158.91,58.07
GARCHIZY,RTE,fr,"47.0314761472386, 3.08464595267107",0.69,4.61,59.49,12.10
GATINAIS,RTE,fr,"48.0988403841565, 2.3948430410185404",1.07,14.03,232.52,19.64
GAUDIERE (LA),RTE,fr,"43.24904907814783, 2.6857863253693974",2.21,9.82,68.44,24.26
GAUGLIN,RTE,fr,"47.5115081949844, 2.87553232465527",1.74,22.88,379.66,44.84
GAVRELLE,RTE,fr,"49.91001162223573, 2.357282640454216",2.42,12.12,98.67,30.66
GDANSK,PSE,pl,"54.34, 18.44",0.58,6.19,110.38,24.30
GDANSK PRZYJAZN,PSE,pl,"54.34400000000001, 18.144",0.69,8.53,112.00,28.90
GDANSK-BLONIA,PSE,pl,"54.34, 18.71",0.58,6.19,110.38,24.30
GENISSIAT-POSTE,RTE,fr,"46.0621721802, 5.810100279380429",3.54,51.37,640.23,2.34
GEZELLE,ELIA,be,"51.283852, 3.221208",0.01,0.05,56.19,0.76
GINESTOUS,RTE,fr,"43.66785811146781, 1.4216364038781",1.64,11.02,78.93,27.39
GIVORS,RTE,fr,"45.5842851739007, 4.79923948070056",0.03,0.23,2.00,0.47
GIVORS-BANS,RTE,fr,"45.5954963493184, 4.80229850060113",0.03,0.23,2.00,0.47
GKM,AMPRION GMBH,de,"49.47835, 8.55104",0.33,1.88,20.50,6.00
GKMB,TRANSNETBW,de,"49.46333333333334, 8.56",1.72,10.80,127.80,36.55
GKN2,TRANSNETBW,de,"49.19, 9.18",0.47,4.35,75.81,16.90
GLINKI,PSE,pl,"53.5, 14.58",0.51,3.55,25.99,9.00
GODIN,RTE,fr,"44.5409873070024, 2.22766389313772",4.69,19.59,125.70,46.37
GORZOW,PSE,pl,"52.75, 15.27",5.12,37.57,252.13,91.00
GOURJADE,RTE,fr,"43.6231356861756, 2.25275347275166",5.83,28.35,198.25,69.65
GOUY,ELIA,be,"50.4925608, 4.3421598",0.05,0.56,6.60,1.70
GRAFFENSTADEN,RTE,fr,"48.5307715880679, 7.68396995463071",1.51,7.47,51.90,18.39
GRAMME,ELIA,be,"50.51773384545456, 5.291977145454545",0.76,5.44,123.15,14.87
GRAND-COEUR,RTE,fr,"45.5159798665477, 6.48841600146952",0.55,3.24,24.25,8.38
GRAND-COURONNE,RTE,fr,"49.3598875910117, 1.0024298161970109",0.33,2.20,15.75,5.47
GRAND-QUEVILLY,RTE,fr,"49.4190160739168, 1.02247706984386",0.56,3.82,70.00,9.48
GRANDE-ILE,RTE,fr,"45.4836393481762, 6.04100795688249",1.63,7.68,106.70,18.96
GRANDE-SYNTHE,RTE,fr,"51.0273282131429, 2.29455760894776",0.85,5.68,41.09,14.20
GRANDVAL,RTE,fr,"44.921948089485, 3.07417803015438",4.46,19.92,135.27,49.04
GRANZAY,RTE,fr,"46.22447362926875, -0.5123639617517155",0.64,4.30,31.06,10.77
GREPILLES,RTE,fr,"46.092482238755, 4.127520593234499",1.78,17.25,215.69,57.03
GREZILLAC,RTE,fr,"44.8132642517383, -0.231752817635573",0.96,6.33,46.08,16.00
GRILLE-AVOINE,RTE,fr,"47.241199599985805, 0.17707663670568902",0.01,0.15,1.09,0.38
GRIMAUD,RTE,fr,"43.2766621882217, 6.563320643896319",1.68,11.13,309.88,29.77
GRISOLLES,RTE,fr,"44.5783188722524, 6.13643426482729",1.06,6.73,48.93,17.20
GROS-CAILLOU,RTE,fr,"50.328954479516, 3.35103480038246",0.25,1.68,12.20,4.21
GROSNE,RTE,fr,"46.63287972912733, 4.714411827906923",3.57,39.29,397.61,2.84
GROSZOWICE,PSE,pl,"50.61, 17.97",2.95,21.96,141.40,52.10
GRUDZIADZ,PSE,pl,"53.45571428571429, 18.805714285714288",2.69,20.32,127.23,47.80
GUARBECQUE,RTE,fr,"50.6192849235165, 2.50404301843111",1.43,9.50,69.03,23.48
GUEBWILLER,RTE,fr,"47.8997872665004, 7.22645671831738",1.72,11.52,81.65,28.56
GUEUGNON,RTE,fr,"46.6095315183993, 4.07575415001608",2.39,15.93,170.21,40.55
GUPIE,RTE,fr,"44.5502759713697, 0.141691417028019",1.68,11.14,81.10,28.00
Gabcikovo,SEPS,sk,"47.82445601833333, 17.611084426666665",0.56,6.71,58.01,13.70
Gadalin,TEL,"","46.816685, 23.857241",0.69,6.50,65.00,19.00
Galceag,TEL,"","45.941243, 23.758106",4.10,24.40,157.00,58.00
Ganderkesee,AMPRION GMBH,de,"52.769800000000004, 8.504265",0.01,0.36,403.70,12.00
Garenfeld,AMPRION GMBH,de,"51.4065, 7.5108999999999995",0.13,2.69,45.70,10.60
Garrel/O,TENNETGMBH,de,"53.1085, 7.9068",0.02,0.43,559.93,7.88
Geertruidenberg,TENNET NL,nl,"51.71428571428572, 4.844285714285713",0.80,9.31,139.98,34.02
Geithe,AMPRION GMBH,de,"51.6729, 7.93074",0.43,7.41,136.00,30.31
Gellep,AMPRION GMBH,de,"51.3261, 6.67583",0.32,1.66,21.80,5.74
Gelsenberg,AMPRION GMBH,de,"51.5407, 7.03708",0.00,0.05,0.40,0.14
Gersteinwerk,AMPRION GMBH,de,"51.68024444444445, 7.726114444444444",1.66,8.32,104.80,28.19
Gheorgheni,TEL,"","46.709295, 25.572009",5.30,27.90,180.00,59.50
Ghizdaru,TEL,"","43.936388, 25.894539",5.14,30.40,196.00,72.00
Giessen/N,TENNETGMBH,de,"50.60666666666666, 8.656666666666666",1.52,12.85,227.89,50.70
Gleidingen,TENNETGMBH,de,"52.23, 10.44",0.58,2.81,36.00,8.43
God,SEPS,sk,"47.69460556, 19.16635",0.06,0.78,11.00,2.60
God Kelet,MAVIR,hu,"47.68793, 19.18279",0.06,0.78,11.00,2.60
Gohrpunkt,AMPRION GMBH,de,"51.0908, 6.70944",0.00,0.05,0.40,0.14
Goldshoefe,TRANSNETBW,de,"48.9, 10.12",1.20,12.38,199.62,46.70
Gonyu,SEPS,sk,"47.8265005, 17.850756166666667",0.39,4.62,70.54,33.00
Gradacac,HOPS,hr,"44.90475, 18.436056",1.77,9.17,60.34,27.30
Gradiste,TEL,"","44.453542, 24.256182",1.26,7.47,93.05,23.30
Grafenrheinfeld,TENNETGMBH,de,"49.9725, 10.171272727272727",0.54,6.26,113.60,50.14
Gransee,50HERTZ,de,"52.9943, 13.2633",1.66,18.23,296.41,70.32
Graustein,50HERTZ,de,"51.5644, 14.4792",2.01,15.87,269.14,62.46
Gremberghoven,AMPRION GMBH,de,"50.911100000000005, 7.0527999999999995",0.67,3.68,39.80,11.56
Greuth,APG,at,"46.543205, 13.679869",0.31,3.54,46.28,81.50
Grohnde,TENNETGMBH,de,"52.034000000000006, 9.394",0.87,7.32,129.47,28.95
Gronau,TENNET NL,nl,"52.206633333333336, 7.038893333333334",0.30,2.90,45.52,16.40
Grossgartach,TRANSNETBW,de,"49.15, 9.15",0.33,3.13,12.58,27.10
Grossgartach ,TRANSNETBW,de,"49.15, 9.15",0.76,7.86,126.26,29.60
Grossgartach  2,TRANSNETBW,de,"49.15, 9.38",0.76,7.87,126.36,29.60
Grosskrotzenburg,TENNETGMBH,de,"50.11834166666666, 9.185813333333334",0.06,0.56,9.90,2.40
Großgartach C2,TRANSNETBW,de,"49.15, 9.38",0.05,0.50,1.57,0.01
Großkrotzenburg,AMPRION GMBH,de,"50.048, 8.9865",0.32,2.97,51.70,12.00
Gruenkraut,TRANSNETBW,de,"47.75, 9.65",0.47,4.67,82.64,18.20
Guetersloh,TENNETGMBH,de,"51.972089, 8.459375000000001",0.35,3.26,59.85,13.22
Gundelfingen,AMPRION GMBH,de,"48.523900000000005, 10.3981",1.05,9.94,175.00,39.83
Gura Ialomitei,TEL,"","44.712973000000005, 27.784897",1.49,15.23,224.45,55.10
Gurtweil,TRANSNETBW,de,"47.809999999999995, 8.281428571428572",0.45,3.10,57.87,22.86
Gutinas,TEL,"","46.223508, 26.820331",2.00,18.52,184.00,55.00
Gyor,SEPS,sk,"47.77659315666667, 17.44597229",0.56,6.71,58.01,13.70
Görries,50HERTZ,de,"53.6011, 11.3727",2.21,22.41,389.09,87.47
Güstrow,50HERTZ,de,"53.82327272727273, 12.193272727272728",1.47,12.01,205.24,47.10
H. Zdana,SEPS,sk,"48.55905, 18.741158",1.39,17.53,253.20,62.90
H. Zivotice,CEPS,cz,"49.972515, 17.6488983",2.51,31.34,429.00,107.00
H.Zivotice,CEPS,cz,"49.972515, 17.6488983",0.98,11.79,166.00,42.10
HAGENWERDER,PSE,pl,"51.08545000000001, 14.973749999999999",0.22,2.30,28.37,11.95
HALEMBA,PSE,pl,"50.23, 18.85",0.70,4.88,35.52,12.40
HARCOURT (POSTE BLINDE),RTE,fr,"48.8338455746814, 2.26788530080229",0.22,0.84,661.65,6.25
HAVRE (LE) (POSTE),RTE,fr,"49.4875377946495, 0.15819482044824001",0.12,1.15,15.59,3.95
HEINSCH,ELIA,be,"49.698509, 5.7601755",0.03,0.26,4.06,1.00
HEINSCH SNCB,ELIA,be,"49.702129, 5.765728999999999",0.03,0.26,4.06,1.00
HEISDORF ,Creos,lu,"49.69098485714286, 6.220397142857143",1.46,7.43,62.83,26.00
HENRI-PAUL,RTE,fr,"46.747289421947606, 4.50274444517701",2.39,15.93,170.21,40.55
HERIE-LA-VIEVILLE (LE),RTE,fr,"49.8089849038781, 3.66232333742743",2.80,12.61,87.38,27.76
